"","PeriodID","PeriodValue","Latitude","Longitude","SentimentType","Type","EntityName"
"307",35,"22 May 2015",37.794857,-122.3961797,1,"P","Joe Biden"
"308",31,"03 Feb 2015",50.73743,7.0982068,-1,"N","Joe Biden"
"309",31,"03 Feb 2015",40.6528762,-73.959494,1,"P","Joe Biden"
"310",31,"03 Feb 2015",32.7766642,-96.7969879,1,"P","Joe Biden"
"311",31,"03 Feb 2015",30.267153,-97.7430608,1,"P","Joe Biden"
"312",31,"03 Feb 2015",39.238056,-81.670556,1,"P","Joe Biden"
"313",31,"03 Feb 2015",37.9642529,-91.8318334,1,"P","Joe Biden"
"314",31,"03 Feb 2015",51.47813,-0.01331,1,"P","Joe Biden"
"315",31,"03 Feb 2015",25.726768,-80.3553306,1,"P","Joe Biden"
"316",31,"03 Feb 2015",38.5449065,-121.7405167,1,"P","Joe Biden"
"317",31,"03 Feb 2015",37.9735346,-122.5310874,1,"P","Joe Biden"
"318",31,"03 Feb 2015",42.8864468,-78.8783689,1,"P","Joe Biden"
"319",31,"03 Feb 2015",40.7830603,-73.9712488,1,"P","Joe Biden"
"320",31,"03 Feb 2015",39.238056,-81.670556,-1,"N","Joe Biden"
"321",31,"03 Feb 2015",51.544205,-0.054215,-1,"N","Joe Biden"
"322",31,"03 Feb 2015",41.928294,-87.706947,1,"P","Joe Biden"
"323",31,"03 Feb 2015",40.6331249,-89.3985283,1,"P","Joe Biden"
"324",31,"03 Feb 2015",45.6387281,-122.6614861,-1,"N","Joe Biden"
"325",31,"03 Feb 2015",40.7061232,-74.5492384,1,"P","Joe Biden"
"326",30,"09 Jan 2015",40.4406248,-79.9958864,1,"P","Joe Biden"
"327",30,"09 Jan 2015",41.0256101,-81.7298519,0,"O","Joe Biden"
"328",31,"03 Feb 2015",33.0198431,-96.6988856,-1,"N","Joe Biden"
"329",31,"03 Feb 2015",38.7071247,-121.2810611,1,"P","Joe Biden"
"330",31,"03 Feb 2015",47.6062095,-122.3320708,0,"O","Joe Biden"
"331",31,"03 Feb 2015",47.6062095,-122.3320708,1,"P","Joe Biden"
"332",30,"09 Jan 2015",39.238056,-81.670556,-1,"N","Joe Biden"
"333",30,"09 Jan 2015",39.238056,-81.670556,-1,"N","Joe Biden"
"334",30,"09 Jan 2015",39.238056,-81.670556,-1,"N","Joe Biden"
"335",30,"09 Jan 2015",39.238056,-81.670556,1,"P","Joe Biden"
"336",30,"09 Jan 2015",38.5976262,-80.4549026,-1,"N","Joe Biden"
"337",30,"09 Jan 2015",41.0256101,-81.7298519,0,"O","Joe Biden"
"338",30,"09 Jan 2015",29.9510658,-90.0715323,-1,"N","Joe Biden"
"339",30,"09 Jan 2015",51.544205,-0.054215,-1,"N","Joe Biden"
"340",30,"09 Jan 2015",40.7830603,-73.9712488,1,"P","Joe Biden"
"341",30,"09 Jan 2015",54.597285,-5.93012,1,"P","Joe Biden"
"342",30,"09 Jan 2015",33.4483771,-112.0740373,1,"P","Joe Biden"
"343",30,"09 Jan 2015",38.2526647,-85.7584557,0,"O","Joe Biden"
"344",30,"09 Jan 2015",34.0522342,-118.2436849,1,"P","Joe Biden"
"345",30,"09 Jan 2015",42.3584865,-71.060097,1,"P","Joe Biden"
"346",30,"09 Jan 2015",42.2917069,-85.5872286,-1,"N","Joe Biden"
"347",30,"09 Jan 2015",38.5249065,-121.9708017,1,"P","Joe Biden"
"348",30,"09 Jan 2015",42.3584865,-71.060097,1,"P","Joe Biden"
"349",30,"09 Jan 2015",37.219841,-76.003956,1,"P","Joe Biden"
"350",30,"09 Jan 2015",39.238056,-81.670556,1,"P","Joe Biden"
"351",30,"09 Jan 2015",39.7589478,-84.1916069,0,"O","Joe Biden"
"352",30,"09 Jan 2015",39.7589478,-84.1916069,1,"P","Joe Biden"
"353",30,"09 Jan 2015",33.7700504,-118.1937395,1,"P","Joe Biden"
"354",30,"09 Jan 2015",36.778261,-119.4179324,-1,"N","Joe Biden"
"355",30,"09 Jan 2015",34.8778952,-82.4240114,-1,"N","Joe Biden"
"356",30,"09 Jan 2015",33.7700504,-118.1937395,-1,"N","Joe Biden"
"357",30,"09 Jan 2015",33.7700504,-118.1937395,1,"P","Joe Biden"
"358",30,"09 Jan 2015",33.7700504,-118.1937395,-1,"N","Joe Biden"
"359",30,"09 Jan 2015",39.7589478,-84.1916069,0,"O","Joe Biden"
"360",30,"09 Jan 2015",33.7700504,-118.1937395,1,"P","Joe Biden"
"361",30,"09 Jan 2015",33.7700504,-118.1937395,-1,"N","Joe Biden"
"362",30,"09 Jan 2015",39.238056,-81.670556,1,"P","Joe Biden"
"363",30,"09 Jan 2015",40.7830603,-73.9712488,1,"P","Joe Biden"
"364",30,"09 Jan 2015",41.9778795,-91.6656232,1,"P","Joe Biden"
"365",30,"09 Jan 2015",35.6089729,-83.9574028,0,"O","Joe Biden"
"366",30,"09 Jan 2015",35.4675602,-97.5164276,0,"O","Joe Biden"
"367",30,"09 Jan 2015",36.1539816,-95.992775,-1,"N","Joe Biden"
"368",30,"09 Jan 2015",35.7017314,-96.8808582,1,"P","Joe Biden"
"369",30,"09 Jan 2015",34.138333,-118.660833,1,"P","Joe Biden"
"370",30,"09 Jan 2015",30.267153,-97.7430608,-1,"N","Joe Biden"
"371",30,"09 Jan 2015",19.483333,-99.233333,-1,"N","Joe Biden"
"372",30,"09 Jan 2015",61.2180556,-149.9002778,1,"P","Joe Biden"
"373",30,"09 Jan 2015",39.9525839,-75.1652215,1,"P","Joe Biden"
"374",30,"09 Jan 2015",39.0154025,-77.070837,-1,"N","Joe Biden"
"375",30,"09 Jan 2015",51.5915123,-2.9349507,1,"P","Joe Biden"
"376",30,"09 Jan 2015",25.8650961,-80.3244957,1,"P","Joe Biden"
"377",30,"09 Jan 2015",41.1399814,-104.8202462,-1,"N","Joe Biden"
"378",30,"09 Jan 2015",45.677778,-111.047222,1,"P","Joe Biden"
"379",30,"09 Jan 2015",44.5235792,-89.574563,1,"P","Joe Biden"
"380",30,"09 Jan 2015",41.6005448,-93.6091064,1,"P","Joe Biden"
"381",30,"09 Jan 2015",29.7604267,-95.3698028,0,"O","Joe Biden"
"382",30,"09 Jan 2015",29.7604267,-95.3698028,1,"P","Joe Biden"
"383",30,"09 Jan 2015",40.8370495,-73.8654295,1,"P","Joe Biden"
"384",30,"09 Jan 2015",40.8370495,-73.8654295,1,"P","Joe Biden"
"385",30,"09 Jan 2015",40.8370495,-73.8654295,-1,"N","Joe Biden"
"386",30,"09 Jan 2015",40.8370495,-73.8654295,1,"P","Joe Biden"
"387",30,"09 Jan 2015",36.1626638,-86.7816016,-1,"N","Joe Biden"
"388",30,"09 Jan 2015",40.6331249,-89.3985283,1,"P","Joe Biden"
"389",30,"09 Jan 2015",41.8781136,-87.6297982,-1,"N","Joe Biden"
"390",30,"09 Jan 2015",49.8997541,-97.1374937,-1,"N","Joe Biden"
"391",30,"09 Jan 2015",40.7830603,-73.9712488,-1,"N","Joe Biden"
"392",30,"09 Jan 2015",39.5296329,-119.8138027,1,"P","Joe Biden"
"393",30,"09 Jan 2015",40.6528762,-73.959494,1,"P","Joe Biden"
"394",30,"09 Jan 2015",42.1350268,-87.7581188,1,"P","Joe Biden"
"395",30,"09 Jan 2015",37.4315734,-78.6568942,1,"P","Joe Biden"
"396",30,"09 Jan 2015",40.7830603,-73.9712488,1,"P","Joe Biden"
"397",30,"09 Jan 2015",40.7830603,-73.9712488,1,"P","Joe Biden"
"398",30,"09 Jan 2015",38.2493581,-122.0399663,1,"P","Joe Biden"
"399",30,"09 Jan 2015",39.9931438,-74.7879393,1,"P","Joe Biden"
"400",30,"09 Jan 2015",43.653226,-79.3831843,1,"P","Joe Biden"
"401",30,"09 Jan 2015",30.267153,-97.7430608,-1,"N","Joe Biden"
"402",30,"09 Jan 2015",30.267153,-97.7430608,-1,"N","Joe Biden"
"403",30,"09 Jan 2015",40.2671941,-86.1349019,-1,"N","Joe Biden"
"404",31,"03 Feb 2015",40.5803818,-74.2851469,1,"P","Joe Biden"
"405",31,"03 Feb 2015",39.238056,-81.670556,1,"P","Joe Biden"
"406",31,"03 Feb 2015",18.971187,-72.285215,1,"P","Joe Biden"
